dt_coleta,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora,indice_qualidade_ar,classificacao,dado_validado
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-03 19:00,5.44,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-03 20:00,5.44,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-03 21:00,5.44,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-03 22:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-03 23:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 00:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 01:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 02:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 03:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 04:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 05:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 06:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 07:00,5.68,Boa,True
2025-07-04,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 08:00,5.68,Boa,True
