dt_coleta,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora,indice_qualidade_ar,classificacao,dado_validado
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-03 19:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-03 20:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-03 21:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-03 22:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-03 23:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 00:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 01:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 02:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 03:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 04:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 05:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 06:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 07:00,0.89,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 08:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 09:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 10:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 11:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 12:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 13:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 14:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 15:00,1.78,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 16:00,1.33,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 17:00,1.33,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,5,CO,Monóxido de Carbono,2025-07-04 18:00,1.33,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-03 19:00,4.96,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-03 20:00,4.88,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-03 21:00,5.04,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-03 22:00,5.36,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-03 23:00,5.52,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 00:00,5.6,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 01:00,5.2,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 02:00,5.12,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 03:00,5.04,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 04:00,4.88,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 05:00,4.64,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 06:00,4.48,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 07:00,5.44,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 08:00,8.08,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 09:00,8.4,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 10:00,8.64,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 11:00,8.64,Boa,True
2025-07-04,2906501,29,BA,gamboa,26.0,90.0,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-04 12:00,6.96,Boa,True
