dt_coleta,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora,indice_qualidade_ar,classificacao,dado_validado
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 05:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 06:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 07:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 08:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 09:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 10:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 11:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 12:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 13:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 14:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 15:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 16:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 17:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 18:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 19:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 20:00,0.89,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 21:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 22:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-04 23:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-05 00:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-05 01:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-05 02:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-05 03:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,5,CO,Monóxido de Carbono,2025-07-05 04:00,0.44,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 05:00,12.0,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 06:00,11.68,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 07:00,11.52,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 08:00,11.2,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 09:00,11.2,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 10:00,10.88,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 11:00,10.56,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 12:00,10.08,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 13:00,10.24,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 14:00,10.72,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 15:00,11.04,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 16:00,11.2,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 17:00,11.2,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 18:00,11.2,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 19:00,11.04,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 20:00,10.72,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 21:00,10.72,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 22:00,10.72,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-04 23:00,10.88,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-05 00:00,11.04,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-05 01:00,10.88,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-05 02:00,11.04,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-05 03:00,11.04,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-07-05 04:00,11.36,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 05:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 06:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 07:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 08:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 09:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 10:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 11:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 12:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 13:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 14:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 15:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 16:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 17:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 18:00,4.06,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 19:00,2.62,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 20:00,2.54,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 21:00,2.54,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 22:00,2.14,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 23:00,1.96,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 00:00,1.96,Boa,True
2025-07-05,2905701,29,BA,machadinho,20.0,99.0,0.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 01:00,1.96,Boa,True
