dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 20:00,5.26,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 21:00,5.26,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 22:00,5.26,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 23:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 00:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 01:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 02:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 03:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 04:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 05:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 06:00,3.92,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 07:00,3.86,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 08:00,3.86,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 09:00,3.86,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 10:00,3.86,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 11:00,3.86,Boa,True
2025-07-06,,2905701,29,BA,câmara,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 12:00,3.86,Boa,True
