dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 08:00,7.68,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 09:00,7.44,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 10:00,7.36,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 11:00,6.72,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 12:00,6.32,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 13:00,6.16,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 14:00,6.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 15:00,5.84,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 16:00,5.6,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 17:00,5.52,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 18:00,5.6,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 19:00,5.52,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 20:00,5.28,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 21:00,5.12,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 22:00,5.12,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-06 23:00,4.72,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 00:00,4.56,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 01:00,4.48,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 02:00,4.56,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 03:00,4.64,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 04:00,4.56,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 05:00,4.56,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 06:00,4.56,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-07 07:00,4.56,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 08:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 09:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 10:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 11:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 12:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 13:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 14:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 15:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 16:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 17:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 18:00,2.96,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 19:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 20:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 21:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 22:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-06 23:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 00:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 01:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 02:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 03:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 04:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 05:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 06:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,18,NO₂,Dióxido de Nitrogênio,2025-07-07 07:00,2.94,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 08:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 09:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 10:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 11:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 12:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 13:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 14:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 15:00,0.0,Boa,True
2025-07-07,,2910057,29,BA,concordia,,,2.0,23,SO₂,Dióxido de Enxofre,2025-07-06 16:00,0.0,Boa,True
