dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 08:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 09:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 10:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 11:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 12:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 13:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 14:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 15:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 16:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 17:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 18:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 19:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 20:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 21:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 22:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-21 23:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 00:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 01:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 02:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 03:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 04:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 05:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 06:00,0.89,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,5,CO,Monóxido de Carbono,2025-08-22 07:00,0.44,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 08:00,8.32,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 09:00,8.32,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 10:00,8.32,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 11:00,8.32,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 12:00,8.48,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 13:00,8.48,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 14:00,8.48,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 15:00,8.16,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 16:00,8.16,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 17:00,8.64,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 18:00,8.64,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 19:00,9.44,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 20:00,9.6,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 21:00,9.12,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 22:00,8.64,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-21 23:00,8.64,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 00:00,10.4,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 01:00,11.52,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 02:00,12.16,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 03:00,12.48,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 04:00,13.12,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 05:00,13.28,Boa,True
2025-08-22,,2905701,29,BA,machadinho,21.0,85.0,0.0,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-22 06:00,13.44,Boa,True
