dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 08:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 09:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 10:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 11:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 12:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 13:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 14:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 15:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 16:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 17:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 18:00,0.82,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 19:00,0.92,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 20:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 21:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 22:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-02-28 23:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-03-01 00:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-03-01 01:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-03-01 02:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-03-01 03:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-03-01 04:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-03-01 05:00,1.14,Boa,True
2026-03-01,,2929503,29,BA,lamarao,25.0,76.0,2.0,18,NO₂,Dióxido de Nitrogênio,2026-03-01 06:00,1.14,Boa,True
