dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 10:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 11:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 12:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 13:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 14:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 15:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 16:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 17:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 18:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 19:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 20:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 21:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 22:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-21 23:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 00:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 01:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 02:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 03:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 04:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 05:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 06:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 07:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 08:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,5,CO,Monóxido de Carbono,2026-01-22 09:00,3.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 10:00,21.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 11:00,20.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 12:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 13:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 14:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 15:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 16:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 17:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 18:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 19:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 20:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 21:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 22:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-21 23:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 00:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 01:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 02:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 03:00,19.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 04:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 05:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 06:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 07:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 08:00,17.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-01-22 09:00,18.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 10:00,12.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 11:00,12.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 12:00,11.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 13:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 14:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 15:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 16:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 17:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 18:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 19:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 20:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 21:00,10.0,Boa,True
2026-01-22,,5300108,53,DF,estacao_cras_fercal,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-21 22:00,10.0,Boa,True
