dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-04 19:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-04 20:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-04 21:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-04 22:30,1.778,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-04 23:30,1.778,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 00:30,1.778,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 01:30,1.778,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 02:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 03:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 04:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 05:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 06:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 07:30,1.333,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 08:30,0.889,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 09:30,0.889,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 10:30,0.889,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 11:30,0.889,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 12:30,0.444,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 13:30,0.444,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 14:30,0.444,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 15:30,0.444,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 16:30,0.444,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 17:30,0.889,Boa,True
2025-09-05,,3131307,31,MG,cariru,,,,5,CO,Monóxido de Carbono,2025-09-05 18:30,0.889,Boa,True
