dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-24 19:00,4.444,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-24 20:00,4.444,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-24 21:00,4.889,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-24 22:00,5.333,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-24 23:00,5.333,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 00:00,5.778,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 01:00,6.222,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 02:00,6.667,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 03:00,7.111,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 04:00,7.111,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 05:00,7.111,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 06:00,7.556,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 07:00,7.556,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 08:00,7.556,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 09:00,7.556,Boa,True
2025-09-25,,3106705,31,MG,petrovale,,,,5,CO,Monóxido de Carbono,2025-09-25 10:00,7.556,Boa,True
