dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 16:30,32.0,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 17:30,30.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 18:30,27.2,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 19:30,19.2,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 20:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 21:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 22:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-29 23:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-30 00:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-30 01:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-30 02:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-30 03:30,14.4,Boa,True
2025-10-29,,3140001,31,MG,_paracatu_de_baixo,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2024-12-30 04:30,15.2,Boa,True
