dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 05:30,32.0,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 06:30,33.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 07:30,36.0,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 08:30,37.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 09:30,37.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 10:30,37.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 11:30,36.8,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 13:30,37.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 14:30,36.8,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 15:30,36.8,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 16:30,36.8,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 17:30,36.8,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 18:30,36.8,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 19:30,38.4,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 20:30,39.2,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 21:30,39.2,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 22:30,37.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-06 23:30,37.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-07 00:30,37.6,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-07 01:30,36.8,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-07 02:30,36.0,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-07 03:30,35.2,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-07 04:30,35.2,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-02-07 05:30,35.2,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 05:30,40.0,Boa,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 06:30,41.0,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 07:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 08:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 09:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 10:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 11:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 13:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 14:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 15:30,42.625,Moderada,True
2026-02-07,,3168705,31,MG,escola_semetinha,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-02-06 16:30,42.625,Moderada,True
