dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 09:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 10:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 11:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 12:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 13:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 14:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 15:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 16:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 17:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 18:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 19:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 20:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 21:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 22:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-10 23:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-11 00:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-11 01:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-11 02:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-11 03:30,0.889,Boa,True
2026-06-11,,5008305,50,MS,estacao_metereologica_e_qualidade_do_ar_-_petrobras_-_ute,19.0,,1.0,5,CO,Monóxido de Carbono,2026-06-11 04:30,0.889,Boa,True
