dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-23 11:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-23 20:00,1.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-23 21:00,1.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-23 22:00,1.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-23 23:00,1.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 00:00,1.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 01:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 02:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 03:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 04:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 05:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 06:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 07:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 08:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 09:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 10:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 11:00,3.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 12:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 13:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 14:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 15:00,2.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 16:00,1.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 17:00,1.0,Boa,True
2025-07-11,,2602902,26,PE,cprh,,,,5,CO,Monóxido de Carbono,2025-02-24 18:00,1.0,Boa,True
