dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-18 10:00,2.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-18 11:00,2.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-18 12:00,2.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-18 13:00,2.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-18 14:00,2.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-19 04:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-19 05:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-19 06:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-19 07:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-19 08:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,5,CO,Monóxido de Carbono,2026-08-19 09:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 10:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 11:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 12:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 13:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 14:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 15:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 16:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 17:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 18:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 19:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 20:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 21:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 22:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-18 23:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 00:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 01:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 02:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 03:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 04:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 05:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 06:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 07:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 08:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,18,NO₂,Dióxido de Nitrogênio,2026-08-19 09:00,0.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,20,O₃,Ozônio,2026-08-18 10:00,11.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,20,O₃,Ozônio,2026-08-18 11:00,12.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,20,O₃,Ozônio,2026-08-18 12:00,12.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,20,O₃,Ozônio,2026-08-18 13:00,12.0,Boa,True
2026-08-19,,2607208,26,PE,edcupe,,,,20,O₃,Ozônio,2026-08-18 14:00,12.0,Boa,True
