dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-22 20:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-22 21:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-22 22:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-22 23:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 00:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 01:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 02:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 03:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 04:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 05:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 06:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 07:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 08:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 09:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 10:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 11:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 12:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 13:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 14:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 15:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 16:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 17:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 18:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,5,CO,Monóxido de Carbono,2025-07-23 19:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-22 20:00,55.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-22 21:00,54.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-22 22:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-22 23:00,51.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 00:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 01:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 02:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 03:00,53.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 04:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 05:00,51.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 06:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 07:00,51.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 08:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 09:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 10:00,52.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 11:00,49.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 12:00,47.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 13:00,46.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 14:00,42.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 15:00,39.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 16:00,37.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 17:00,36.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 18:00,37.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-07-23 19:00,37.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-22 20:00,8.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-22 21:00,6.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-22 22:00,5.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-22 23:00,4.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 00:00,3.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 01:00,3.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 02:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 03:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 04:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 05:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 06:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 07:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 08:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 09:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 10:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 11:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 12:00,0.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 13:00,0.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 14:00,0.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 15:00,0.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 16:00,2.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 17:00,5.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 18:00,8.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,18,NO₂,Dióxido de Nitrogênio,2025-07-23 19:00,6.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-22 20:00,15.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-22 21:00,11.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-22 22:00,8.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-22 23:00,6.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 00:00,3.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 01:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 02:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 03:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 04:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 05:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 06:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 07:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 08:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 09:00,1.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 10:00,3.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 11:00,5.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 12:00,8.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 13:00,12.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 14:00,15.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 15:00,18.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 16:00,21.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 17:00,23.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 18:00,21.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,20,O₃,Ozônio,2025-07-23 19:00,20.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-22 20:00,47.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-22 21:00,45.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-22 22:00,47.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-22 23:00,48.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 00:00,49.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 01:00,49.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 02:00,45.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 03:00,43.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 04:00,47.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 06:00,44.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 07:00,43.0,Moderada,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 08:00,38.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 09:00,31.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 10:00,17.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 11:00,17.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 12:00,17.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 13:00,12.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 14:00,11.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 15:00,11.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 16:00,11.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 17:00,12.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 18:00,11.0,Boa,True
2025-07-23,,4125605,41,PR,petrosix,,,,23,SO₂,Dióxido de Enxofre,2025-07-23 19:00,10.0,Boa,True
