dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-11 21:00,8.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-11 22:00,8.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 00:00,8.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 01:00,8.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 02:00,9.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 03:00,9.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 04:00,10.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 05:00,11.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 06:00,10.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 07:00,12.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 09:00,10.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 10:00,9.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 11:00,9.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 12:00,9.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 13:00,9.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 16:00,9.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 18:00,8.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,20,O₃,Ozônio,2025-08-12 19:00,7.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 20:00,18.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 21:00,18.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 22:00,18.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-11 23:00,20.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 00:00,22.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 01:00,22.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 02:00,22.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 03:00,22.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 04:00,20.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 05:00,20.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 06:00,20.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 07:00,20.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 08:00,18.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 09:00,18.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 10:00,17.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 11:00,18.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 13:00,17.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 14:00,17.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 16:00,17.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 17:00,17.0,Boa,True
2025-08-12,,4115200,41,PR,maringa,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-08-12 18:00,24.0,Boa,True
