dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-11 20:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-11 21:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-11 22:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-11 23:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 00:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 01:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 02:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 03:00,9.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 04:00,8.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 05:00,8.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 06:00,8.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 07:00,8.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 08:00,8.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 09:00,8.0,Boa,True
2025-09-12,,4106902,41,PR,ecoville,,,,5,CO,Monóxido de Carbono,2025-09-12 10:00,8.0,Boa,True
