dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-18 21:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-18 22:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-18 23:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 00:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 01:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 02:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 03:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 04:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 05:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 06:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 07:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 08:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 09:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 10:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 11:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 12:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 13:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 14:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 15:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 16:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 17:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 18:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 19:00,0.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,5,CO,Monóxido de Carbono,2025-12-19 20:00,1.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-18 21:00,35.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-18 22:00,37.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-18 23:00,37.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 00:00,39.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 01:00,38.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 02:00,39.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 03:00,41.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 04:00,41.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 05:00,39.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 06:00,41.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 07:00,41.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 08:00,41.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 09:00,40.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 10:00,39.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 11:00,38.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 12:00,38.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 13:00,38.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 14:00,39.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 15:00,43.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 16:00,44.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 17:00,45.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 18:00,45.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 19:00,44.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-19 20:00,42.0,Moderada,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-18 21:00,22.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-18 22:00,22.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-18 23:00,21.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 00:00,22.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 01:00,23.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 02:00,25.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 03:00,24.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 04:00,24.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 05:00,23.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 06:00,23.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 07:00,25.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 08:00,24.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 09:00,25.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 10:00,24.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 11:00,23.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 12:00,22.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 13:00,23.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 14:00,25.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 15:00,26.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 16:00,25.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 17:00,26.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 18:00,27.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 19:00,27.0,Boa,True
2025-12-19,,4118204,41,PR,fospar,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-19 20:00,27.0,Boa,True
