dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-24 20:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-24 21:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-24 22:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-24 23:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 00:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 01:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 02:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 03:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 04:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 05:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 06:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 07:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 08:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 09:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 10:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 11:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 12:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 13:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 14:00,1.0,Boa,True
2026-02-25,,4106902,41,PR,cic,,,,5,CO,Monóxido de Carbono,2026-02-25 15:00,1.0,Boa,True
