dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-03 21:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-03 22:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-03 23:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 00:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 01:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 02:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 03:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 04:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 05:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 06:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 07:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 08:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 09:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 10:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 11:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 12:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 13:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 14:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 15:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 16:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 17:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 18:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 19:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,5,CO,Monóxido de Carbono,2026-05-04 20:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 21:00,8.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 22:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 23:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 00:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 01:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 03:00,7.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 04:00,9.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 05:00,9.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 06:00,9.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 07:00,9.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 08:00,9.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 09:00,9.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 10:00,10.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 11:00,10.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 12:00,10.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 13:00,10.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 14:00,10.0,Boa,True
2026-05-05,,4101804,41,PR,defesa_civil_araucaria,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-04 17:00,10.0,Boa,True
