dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 09:00,30.4,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 10:00,30.4,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 11:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 12:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 13:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 14:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 15:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 16:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 17:00,30.4,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 18:00,30.4,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 19:00,30.4,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 20:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 21:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 22:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-02 23:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 00:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 01:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 02:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 03:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 04:00,31.2,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 05:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 06:00,32.8,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 07:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-03 08:00,32.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 09:00,13.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 10:00,13.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 11:00,12.6,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 12:00,11.6,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 13:00,10.8,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 14:00,10.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 15:00,8.4,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 16:00,9.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 17:00,10.0,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 18:00,6.6,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 19:00,7.6,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 20:00,10.4,Boa,True
2026-05-03,,3304557,33,RJ,tijuca,24.0,,0.0,18,NO₂,Dióxido de Nitrogênio,2026-05-02 21:00,13.2,Boa,True
