dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 01:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 02:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 03:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 04:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 05:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 06:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 07:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 08:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 09:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 10:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 11:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 12:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 13:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 14:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 15:00,,,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 16:00,11.2,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 17:00,11.2,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 18:00,10.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 19:00,11.2,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 20:00,11.2,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 21:00,10.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 22:00,10.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-02 23:00,10.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-02-03 00:00,10.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 01:00,1.8,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 02:00,1.0,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 03:00,0.8,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 04:00,0.8,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 05:00,1.0,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 06:00,1.6,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 07:00,1.6,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 08:00,0.6,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 09:00,0.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 10:00,0.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 11:00,0.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 12:00,0.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 13:00,0.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 14:00,0.2,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 15:00,0.4,Boa,True
2025-12-03,,4304358,43,RS,candiota_aeroporto,,,,18,NO₂,Dióxido de Nitrogênio,2025-02-02 16:00,0.4,Boa,True
