dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 08:00,6.667,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 09:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 10:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 11:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 12:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 13:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 14:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 15:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 16:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 17:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 18:00,7.111,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 19:00,7.556,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 20:00,7.556,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 21:00,8.0,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 22:00,8.0,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-05 23:00,8.444,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 00:00,8.889,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 01:00,9.333,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 02:00,9.333,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 03:00,9.778,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 04:00,9.778,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 05:00,9.778,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 06:00,9.778,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,5,CO,Monóxido de Carbono,2026-05-06 07:00,9.778,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-05 08:00,16.0,Boa,True
2026-05-06,,4309308,43,RS,guaiba_parque_35,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2026-05-05 09:00,15.2,Boa,True
