dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 01:00,0.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 02:00,0.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 03:00,0.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 04:00,0.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 05:00,1.2,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 06:00,1.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 07:00,1.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 08:00,2.0,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 09:00,1.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 10:00,1.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 11:00,0.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 12:00,0.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 13:00,1.0,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 14:00,0.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 15:00,0.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 16:00,0.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 17:00,0.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 18:00,1.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 19:00,1.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 20:00,2.0,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 21:00,1.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 22:00,1.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-11 23:00,1.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,18,NO₂,Dióxido de Nitrogênio,2026-05-12 00:00,1.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 01:00,14.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 02:00,15.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 03:00,16.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 04:00,17.2,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 05:00,16.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 06:00,15.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 07:00,14.8,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 08:00,13.2,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 09:00,12.0,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 10:00,10.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 11:00,9.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 12:00,9.6,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 13:00,10.4,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 14:00,11.2,Boa,True
2026-05-12,,4304606,43,RS,canoas_parque_universitario,,,,20,O₃,Ozônio,2026-05-11 15:00,11.2,Boa,True
