dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-21 20:30,0.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-21 21:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-21 22:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-21 23:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 00:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 01:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 02:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 03:30,0.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 04:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 05:30,0.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 06:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 07:30,1.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 08:30,0.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 13:30,2.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 14:30,2.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 15:30,2.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 16:30,4.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 17:30,5.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 18:30,4.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,18,NO₂,Dióxido de Nitrogênio,2026-06-22 19:30,4.0,Boa,True
2026-06-23,,4218707,42,SC,estacao_sao_bernardo,,,,20,O₃,Ozônio,2026-06-21 20:30,8.0,Boa,True
