dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-11 20:00,42.0,Moderada,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-11 21:00,39.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-11 22:00,37.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-11 23:00,34.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 00:00,29.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 01:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 02:00,21.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 14:00,28.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 15:00,33.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 16:00,38.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 17:00,48.0,Moderada,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 18:00,55.0,Moderada,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-09-12 19:00,55.0,Moderada,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 03:00,22.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 04:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 05:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 06:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 07:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 08:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 09:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 10:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 11:00,25.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 12:00,24.0,Boa,True
2025-09-12,,3518404,35,SP,guaratingueta,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-09-12 13:00,24.0,Boa,True
