dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-09-29,,3549904,35,SP,s.jose_campos,,,,18,NO₂,Dióxido de Nitrogênio,2025-09-29 07:00,9.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 08:00,7.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 09:00,7.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 10:00,9.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 11:00,12.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 12:00,16.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 13:00,19.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 14:00,22.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 15:00,25.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 16:00,27.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 17:00,29.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 18:00,29.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 19:00,29.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 20:00,27.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 21:00,25.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 22:00,23.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-28 23:00,21.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-29 00:00,18.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-29 01:00,15.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-29 02:00,14.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-29 03:00,12.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-29 04:00,11.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-29 05:00,10.0,Boa,True
2025-09-29,,3549904,35,SP,s.jose_campos,,,,20,O₃,Ozônio,2025-09-29 06:00,9.0,Boa,True
