dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 06:00,35.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 07:00,35.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 08:00,36.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 09:00,36.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 10:00,36.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 11:00,35.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 12:00,35.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 13:00,33.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-03 14:00,31.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-04 06:00,35.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-10-04 07:00,35.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-01 20:00,45.0,Moderada,True
2025-10-04,,3550308,35,SP,perus,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-02 06:00,31.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-10-02 11:00,28.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 05:00,10.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 06:00,12.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 07:00,14.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 08:00,15.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 09:00,18.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 10:00,19.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 11:00,20.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 12:00,22.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 13:00,25.0,Boa,True
2025-10-04,,3550308,35,SP,perus,,,,20,O₃,Ozônio,2025-10-01 14:00,30.0,Boa,True
