dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-04 07:00,14.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-04 08:00,14.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-04 09:00,14.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-05 03:00,11.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-05 04:00,13.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-05 05:00,13.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-05 06:00,13.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2025-12-05 07:00,13.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 10:00,15.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 11:00,17.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 12:00,19.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 13:00,23.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 14:00,27.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 15:00,31.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 16:00,33.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 17:00,33.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 18:00,33.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 19:00,31.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 20:00,28.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 21:00,24.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 22:00,19.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-04 23:00,15.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-05 00:00,13.0,Boa,True
2025-12-05,,3550308,35,SP,pico_do_jaragua,,,,20,O₃,Ozônio,2025-12-05 02:00,11.0,Boa,True
