dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-20 11:00,9.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-20 12:00,11.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-20 13:00,14.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-20 14:00,16.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 00:00,18.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 01:00,18.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 02:00,17.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 03:00,16.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 04:00,16.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 05:00,15.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 06:00,15.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 07:00,14.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 08:00,14.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 09:00,14.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 10:00,15.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 11:00,16.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 12:00,18.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 13:00,20.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 14:00,22.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 15:00,24.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 16:00,26.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 17:00,27.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 18:00,28.0,Boa,True
2025-12-21,,3518404,35,SP,guaratingueta,,,,20,O₃,Ozônio,2025-12-21 19:00,28.0,Boa,True
