dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 08:00,13.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 09:00,14.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 10:00,15.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 11:00,19.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 12:00,20.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 13:00,24.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 14:00,27.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 15:00,30.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 16:00,32.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 17:00,33.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 18:00,33.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 19:00,29.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 20:00,28.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 21:00,25.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 22:00,23.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-21 23:00,21.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 00:00,20.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 01:00,20.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 02:00,19.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 03:00,19.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 04:00,18.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 05:00,18.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 06:00,18.0,Boa,True
2025-12-22,,3541406,35,SP,presidente_prudente,,,,20,O₃,Ozônio,2025-12-22 07:00,18.0,Boa,True
