dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-23 19:00,27.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-23 20:00,27.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-23 21:00,26.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-23 22:00,23.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 06:00,3.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 07:00,4.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 08:00,7.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 09:00,10.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 10:00,13.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 11:00,17.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 12:00,20.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 13:00,23.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 14:00,25.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 15:00,28.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 16:00,29.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 17:00,30.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 18:00,30.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,20,O₃,Ozônio,2025-12-24 19:00,30.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,18,NO₂,Dióxido de Nitrogênio,2025-12-24 05:00,4.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-24 00:00,17.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-24 01:00,17.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-24 02:00,17.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-24 03:00,17.0,Boa,True
2025-12-24,,3506003,35,SP,bauru,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2025-12-24 04:00,17.0,Boa,True
