dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 08:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 10:00,17.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 11:00,17.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 12:00,17.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 13:00,17.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 14:00,17.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 15:00,17.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,14,MP₁₀,Material Particulado com diâmetro de até 10 μm,2023-12-13 16:00,18.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-12 23:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 00:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 01:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 02:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 03:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 04:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 05:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 06:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2023-12-13 07:00,16.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,20,O₃,Ozônio,2023-12-12 16:00,21.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,20,O₃,Ozônio,2023-12-12 17:00,23.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,20,O₃,Ozônio,2023-12-12 18:00,23.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,20,O₃,Ozônio,2023-12-12 19:00,23.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,20,O₃,Ozônio,2023-12-12 20:00,22.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,20,O₃,Ozônio,2023-12-12 21:00,19.0,Boa,True
2026-01-01,,3548807,35,SP,sao_caetano_do_sul,,,,20,O₃,Ozônio,2023-12-12 22:00,17.0,Boa,True
