dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-03 22:00,29.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 00:00,29.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 01:00,29.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 02:00,29.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 03:00,29.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 04:00,29.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 05:00,27.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 06:00,27.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 07:00,27.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 08:00,27.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 09:00,24.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 10:00,21.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 11:00,21.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 12:00,19.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 13:00,19.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 14:00,19.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 15:00,19.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 16:00,19.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 17:00,16.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 18:00,16.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-01-04 19:00,16.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,20,O₃,Ozônio,2026-01-03 19:00,31.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,20,O₃,Ozônio,2026-01-03 20:00,30.0,Boa,True
2026-01-04,,3548500,35,SP,santos-ponta_da_praia,,,,20,O₃,Ozônio,2026-01-03 21:00,29.0,Boa,True
