dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 00:00,7.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 01:00,6.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 02:00,6.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 03:00,8.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 04:00,9.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 05:00,9.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 06:00,10.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 07:00,10.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 08:00,9.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 09:00,10.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 10:00,14.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 11:00,15.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 12:00,17.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 13:00,20.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 14:00,24.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 15:00,28.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-20 16:00,31.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-22 01:00,17.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-22 02:00,13.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-22 03:00,10.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-22 04:00,6.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-22 05:00,4.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-22 06:00,2.0,Boa,True
2026-03-22,,3550308,35,SP,capao_redondo,,,,20,O₃,Ozônio,2026-03-22 07:00,1.0,Boa,True
