dt_coleta,dt_medicao_geral,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora_medicao,indice_qualidade_ar,classificacao,dado_validado
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-19 07:00,35.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-19 08:00,35.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-19 09:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-19 10:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-19 11:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-19 12:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-19 13:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 00:00,29.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 01:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 02:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 03:00,29.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 04:00,29.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 05:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 06:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,15,"MP₂,₅","Material Particulado com diâmetro de até 2,5 μm",2026-04-20 07:00,32.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 14:00,35.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 15:00,40.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 16:00,51.0,Moderada,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 17:00,56.0,Moderada,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 18:00,53.0,Moderada,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 19:00,49.0,Moderada,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 20:00,43.0,Moderada,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 21:00,38.0,Boa,True
2026-04-20,,3550308,35,SP,ibirapuera,,,,20,O₃,Ozônio,2026-04-19 22:00,34.0,Boa,True
